productname,productvendor,productversion
Xml Parser For Oracle Jvm,Oracle,9.2.x
Sap Jvm,SAP,4.1.x
Sap Jvm,SAP,6.1.x
Oracle Jvm,Oracle,10.2.x
Xml Parser For Oracle Jvm,Oracle,10.2.x
Oracle Jvm,Oracle,11.2.x
Oracle Jvm,Oracle,12.1.x
Oracle Jvm,Oracle,12.2.x
Oracle Jvm For Core,Oracle,12.1.x
Oracle Jvm For Core,Oracle,12.2.x
Xml Parser For Oracle Jvm,Oracle,11.2.x
Xml Parser For Oracle Jvm,Oracle,12.1.x
Xml Parser For Oracle Jvm,Oracle,12.2.x
J2Se Runtime Environment 5.0 Update,"Sun Microsystems, Inc.",1.5.x
J2Se Development Kit 5.0 Update,"Sun Microsystems, Inc.",1.5.x
Oracleas J2Ee,Oracle,10.1.x
Oracle Application Server Non J2Ee Management Files,Oracle,11.1.x
Oracleas J2Ee Jrf,Oracle,11.1.x
Oracleas J2Ee Thirdparty Jrf,Oracle,11.1.x
Oracle Database Vault J2Ee Application,Oracle,11.2.x
Oracleas J2Ee Bulkops,Oracle,11.0.x
Websphere Mq For Sun Solaris - U,IBM,7.x
Websphere Mq For Sun Solaris,IBM,7.x
Websphere Application Server Network Deployment,IBM,7.x
Websphere Portal Server,IBM,8.x
Oracle.Wls.Weblogic.Sca (Tl),Oracle,12.x
Oracle Weblogic Client,Oracle,12.x
Oracle Weblogic Server,Oracle,12.x
Oracle Weblogic Server,Oracle,10.x
Shared.Tp.Aurora.Tomcat.Webapp-4.0-Core-Nu,SAP BusinessObjects,14.x
Tomcat Container,Oracle,12.x
Tomcat,Apache Software Foundation,8.x
Tomcat,Apache Software Foundation,4.x
Tomcat,Apache Software Foundation,6.x
Tomcat Servlet Container 4 Os,Apache Software Foundation,4.x
Tomcat,Apache Software Foundation,7.x
Tomcat Servlet Container 11 Os,Apache Software Foundation,11.x
Tomcat,Apache Software Foundation,5.x
Tomcat Servlet/Jsp Container (Root),"Sun Microsystems, Inc.",11.x
Tomcat Servlet/Jsp Container,"Sun Microsystems, Inc.",11.x
Oracle.Org.Jboss.Logging.Jboss.Logging.Vfinal (Tl),Oracle,3.x
Jboss Application Server,Red Hat,7.x
Jboss Enterprise Application Platform,Red Hat,5.x
Netapp-Application-Server,"NetApp, Inc.",7.x
Jboss Application Server,Red Hat,4.x
Jboss Enterprise Application Platform,Red Hat,6.x
Zend Optimizer,Zend Technologies,3.x
Icingaweb2-Vendor-Zf,Icinga.com,2.x
Apache Directory Studio,Apache Software Foundation,2.x
Shared.Tp.Aurora.Apache.Axis2.Bundle.Boe-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Poi.Java.Bundle-4.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Commons.Java.Bundle-3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Commons.Java.Bundle.Boe-3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby-10.5.3.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby.Bpbi-10.2.2.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby.Dswsbobje-10.2.2.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Guice.Dswsbobje-1.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Bpbi-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Bundle.Boe-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Dswsbobje-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Lucene.Java-2.3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Lucene.Java-2.4.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java-2.7.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java.Boe-2.7.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java.Classes-2.7.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java-2.11.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java.Boe-2.11.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java.Classes-2.11.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java.Dswsbobje-2.11.0-Core-Nu,SAP BusinessObjects,14.x
Apache Http Server,Apache Software Foundation,1.x
Apache Configuration For Oracle Java Server Pages,Oracle,10.x
Oracle Apache Modules,Oracle,10.x
Apache Tomcat 8.0 Portal_Bp_Y_Gtv (Remove Only),The Apache Software Foundation,8.x
Apache Tomcat 8.5 Tomcat8_Meta4 (Remove Only),The Apache Software Foundation,8.x
Oracle.Apache.Commons.Collections.Mod (Tl),Oracle,3.x
Oracle.Apache.Commons.Lang.Mod (Tl),Oracle,2.x
Oracle.Org.Apache.Ant.Ant.Bundle (Tl),Oracle,1.x
Oracle.Org.Apache.Commons.Commons.Compress (Tl),Oracle,1.x
Oracle.Org.Apache.Httpcomponents.Httpclient (Tl),Oracle,4.x
Oracle.Org.Apache.Httpcomponents.Httpcore (Tl),Oracle,4.x
Apache Jmeter,Apache Software Foundation,2.x
Shared.Tp.Aurora.Apache.Axis2-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Axis2.Bundle-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Httpcomponents.Httpclient-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Httpcomponents.Httpcore-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Poi.Java-4.0-Core-Nu,SAP BusinessObjects,14.x
Shared.Tp.Aurora.Apache.Rampart-4.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Abdera.Boeclient-1.1.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Abdera.Bundle.Biprs-1.1.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Abdera.License-1.1.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Ant-1.7.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Commons.Java-3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Commons.Java.Boe-3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Commons.Java.Classes-3.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Cxf.Boeclient-2.3.8-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Cxf.Bundle.Biprs-2.3.8-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Cxf.License-2.3.8-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby-10.2.2.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby.Boe-10.2.2.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Derby.Classes-10.2.2.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Guice-1.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Boe-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Bundle-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Classes-1.2.6_Sap.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Log4J.Nteventlogappender-1.2.6_Sap.1-Core-,SAP BusinessObjects,14.x
Tp.Apache.Log4Net-1.2.10-Core-,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Cpp-1.10.0-Core-,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java-2.5.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java.Boe-2.5.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xalan.Java.Classes-2.5.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xbean-2.1.0-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Cpp-2.1.0-Core-,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Cpp-2.7.0-Core-,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java-2.6.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java-2.9.1-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java.Boe-2.6.2-Core-Nu,SAP BusinessObjects,14.x
Tp.Apache.Xerces.Java.Classes-2.6.2-Core-Nu,SAP BusinessObjects,14.x
Apache Http Server,Apache Software Foundation,2.x
Apache Http Server 1 Os,Apache Software Foundation,1.x
Apache 2 Os,Apache Software Foundation,2.x
Apache Web Server,Oracle,11.x
Apache Common Logging,"Sun Microsystems, Inc.",7.x
Apache Configuration For Oracle Java Server Pages,Oracle,1.x
Apache Configuration For Oracle Xml Developer'S Kit,Oracle,9.x
Apache Jserv,Oracle,1.x
Apache Web Server (Root),"Sun Microsystems, Inc.",11.x
Apache Web Server (Usr),"Sun Microsystems, Inc.",11.x
Apache Web Server Documentation,"Sun Microsystems, Inc.",11.x
Apache Web Server Files,Oracle,1.x
"Internet Printing Protocol(Ipp) Listener, (Root)","Sun Microsystems, Inc.",13.x
Apache Module For Oracle Distributed Authoring And Versioning,Oracle,10.x
Apache-Prefork 2 Os,Apache Software Foundation,2.x
Apache2 2 Os,Apache Software Foundation,2.x
Apache-Utils  Os,Freeware,2.x
Apr,"Red Hat, Inc.",1.x
Apr-Util,"Red Hat, Inc.",1.x
Mod_Ssl,"Red Hat, Inc.",2.x
Apache Http Server 2Os,Apache Software Foundation,2.x
Apache2-Prefork,"SUSE LINUX Products GmbH, Nuernberg, Germany",2.x
Apache2-Utils,"SUSE LINUX Products GmbH, Nuernberg, Germany",2.x
Libapr-Util,"SUSE LINUX Products GmbH, Nuernberg, Germany",1.x
Libapr,"SUSE LINUX Products GmbH, Nuernberg, Germany",1.x
Apache Ant,Oracle,11.x
Apache Standard C++ Library,Oracle,11.x
Apache Standard C++ Library 11 Os,Apache Software Foundation,11.x
Apache Ant,Apache Software Foundation,1.x
Apache,The Apache Group,2.x
Apache Common Logging,"Sun Microsystems, Inc.",8.x
Internet Printing Protocol(Ipp) Listener Module (/Usr),"Sun Microsystems, Inc.",13.x
Apache_Reverse_Proxy,HP,1.x
Httpdebuggerpro,HttpDebugger.com,8.x
Mod_Dav_Svn,"Red Hat, Inc.",1.x
Mod_Auth_Mellon,"Red Hat, Inc.",0.x
Httpd-Devel,"Red Hat, Inc.",2.x
Httpd,"Red Hat, Inc.",2.x
Httpd-Tools,"Red Hat, Inc.",2.x
Httpd-Tools 2 Os,Apache Software Foundation,2.x
Httpd 2 Os,Apache Software Foundation,2.x
Opswnginx,Hewlett-Packard,60.x
Microsoft Asp.Net Core Module For Iis,Microsoft,12.x
Microsoft Asp.Net Core Module V2 For Iis Express,Microsoft,13.x
Microsoft Asp.Net Core Module For Iis Express,Microsoft,12.x
Application Initialization For Iis,Microsoft,7.x
Setup.Engine.Iis7-4.0-Core-,SAP BusinessObjects,14.x
Iis 10.0 Express,Microsoft,10.x
Iis State,Microsoft,3.x
Iis Tinyget,Microsoft,5.x
Iis Configuration,Matrikon Inc.,3.x
Microsoft External Cache Version 1 For Iis,Microsoft,1.x
Microsoft Web Farm Framework Version 1 For Iis,Microsoft,1.x
Microsoft Application Request Routing For Iis,Microsoft,2.x
Microsoft External Cache For Iis 7,Microsoft,1.x
Microsoft Web Farm Framework For Iis,Microsoft,1.x
Iis 8.0 Express,Microsoft,8.x
Iis Advanced Logging,Microsoft,1.x
Rsa Authentication Agent For Web For Iis,RSA Security Inc.,7.x
Arr Helper For Iis,Microsoft,1.x
Application Initialization 1.0 For Iis,Microsoft,7.x
Netiq Appmanager For Microsoft Internet Information Services (Iis),"NetIQ Corporation, Inc.",
Iis 6.0 Resource Kit Tools,Microsoft,6.x
Iis Url Rewrite Module,Microsoft,7.x
Internet Information Server 10.0 Express,Microsoft,10.x
Internet Information Server 8.0 Express,Microsoft,8.x
Internet Information Server,Microsoft,8.x
Internet Information Server,Microsoft,7.x
Oracle Iplanet Web Server,Oracle,7.x
